location,total_sqft,bath,price,BHK,price_per_sqft,bhk_per_sqft
other,600.0,7.0,89.0,7,14833.333333333334,85.71428571428571
Kothannur,600.0,4.0,81.0,4,13500.0,150.0
Battarahalli,1350.0,3.0,110.0,5,8148.148148148148,270.0
other,1320.0,5.0,199.0,5,15075.757575757576,264.0
other,1222.0,5.0,250.0,6,20458.265139116203,203.66666666666666
TC Palaya,1200.0,7.0,110.0,8,9166.666666666666,150.0
other,1200.0,5.0,195.0,5,16250.0,240.0
other,1500.0,7.0,220.0,6,14666.666666666666,250.0
2nd Stage Nagarbhavi,1200.0,4.0,240.0,5,20000.0,240.0
other,600.0,2.0,85.0,4,14166.666666666666,150.0
other,1000.0,7.0,160.0,7,16000.0,142.85714285714286
Electronic City Phase II,545.0,1.0,35.0,2,6422.018348623853,272.5
KR Puram,1000.0,4.0,75.0,4,7500.0,250.0
Vasanthapura,420.0,2.0,35.0,2,8333.333333333334,210.0
other,600.0,2.0,90.0,4,15000.0,150.0
Munnekollal,1200.0,4.0,110.0,6,9166.666666666666,200.0
other,440.0,3.0,50.0,3,11363.636363636364,146.66666666666666
other,950.0,5.0,90.0,5,9473.684210526315,190.0
other,2000.0,16.0,490.0,19,24500.0,105.26315789473684
Jigani,600.0,5.0,50.0,5,8333.333333333334,120.0
other,1200.0,5.0,150.0,6,12500.0,200.0
other,1200.0,7.0,170.0,6,14166.666666666666,200.0
Kumaraswami Layout,1270.0,4.0,128.0,5,10078.740157480315,254.0
other,600.0,7.0,63.0,6,10500.0,100.0
Yelahanka,1200.0,4.0,140.0,5,11666.666666666666,240.0
Thyagaraja Nagar,700.0,4.0,110.0,4,15714.285714285714,175.0
other,1200.0,5.0,185.0,5,15416.666666666666,240.0
Uttarahalli,1200.0,7.0,225.0,7,18750.0,171.42857142857142
Jigani,1200.0,10.0,105.0,10,8750.0,120.0
Banashankari Stage III,1200.0,7.0,350.0,8,29166.666666666668,150.0
Thanisandra,750.0,4.0,62.0,5,8266.666666666666,150.0
Bommenahalli,832.0,3.0,77.0,3,9254.807692307691,277.3333333333333
BEML Layout,1196.0,3.0,150.0,4,12541.80602006689,299.0
Vishwapriya Layout,600.0,3.0,73.0,4,12166.666666666666,150.0
Subramanyapura,1200.0,6.0,170.0,6,14166.666666666666,200.0
Malleshwaram,675.0,2.0,148.0,3,21925.925925925927,225.0
other,600.0,3.0,95.0,6,15833.333333333334,100.0
5th Block Hbr Layout,1200.0,6.0,220.0,5,18333.333333333332,240.0
Vishwapriya Layout,600.0,7.0,73.0,7,12166.666666666666,85.71428571428571
other,600.0,4.0,110.0,3,18333.333333333332,200.0
7th Phase JP Nagar,1045.0,6.0,160.0,6,15311.004784688996,174.16666666666666
Seegehalli,1200.0,5.0,120.0,5,10000.0,240.0
R.T. Nagar,1200.0,10.0,180.0,9,15000.0,133.33333333333334
Sector 2 HSR Layout,1200.0,4.0,160.0,5,13333.333333333334,240.0
other,600.0,5.0,85.0,4,14166.666666666666,150.0
KR Puram,1200.0,8.0,110.0,7,9166.666666666666,171.42857142857142
other,1200.0,6.0,150.0,11,12500.0,109.0909090909091
Electronic City,550.0,1.0,15.0,2,2727.2727272727275,275.0
other,1250.0,5.0,300.0,5,24000.0,250.0
other,1650.0,9.0,345.0,7,20909.090909090908,235.71428571428572
Begur Road,800.0,5.0,95.0,5,11875.0,160.0
Hoodi,780.0,3.0,62.0,3,7948.717948717948,260.0
Hoodi,1120.0,8.0,150.0,8,13392.857142857143,140.0
Yelachenahalli,897.0,2.0,85.0,5,9476.03121516165,179.4
Marathahalli,800.0,4.0,86.0,4,10750.0,200.0
other,600.0,4.0,100.0,7,16666.666666666668,85.71428571428571
Hebbal Kempapura,800.0,5.0,155.0,4,19375.0,200.0
Sarjapur  Road,1.0,4.0,120.0,4,12000000.0,0.25
Kanakpura Road,1080.0,6.0,65.0,5,6018.518518518518,216.0
R.T. Nagar,1500.0,6.0,240.0,6,16000.0,250.0
other,971.0,2.0,135.0,4,13903.192584963954,242.75
6th Phase JP Nagar,1650.0,6.0,135.0,8,8181.818181818182,206.25
Vidyaranyapura,600.0,3.0,78.0,4,13000.0,150.0
Banashankari,1200.0,9.0,145.0,9,12083.333333333334,133.33333333333334
Sahakara Nagar,1200.0,5.0,160.0,5,13333.333333333334,240.0
other,1150.0,3.0,110.0,4,9565.217391304348,287.5
Ramamurthy Nagar,850.0,2.0,65.0,4,7647.058823529412,212.5
Abbigere,1200.0,4.0,98.0,5,8166.666666666667,240.0
Rajaji Nagar,1200.0,3.0,260.0,5,21666.666666666668,240.0
other,1790.0,5.0,250.0,6,13966.480446927375,298.3333333333333
Nagasandra,1750.0,5.0,350.0,7,20000.0,250.0
Vidyaranyapura,1200.0,7.0,130.0,8,10833.333333333334,150.0
other,1200.0,8.0,275.0,8,22916.666666666668,150.0
Akshaya Nagar,750.0,4.0,62.0,4,8266.666666666666,187.5
other,750.0,8.0,200.0,8,26666.666666666668,93.75
other,1200.0,4.0,120.0,5,10000.0,240.0
other,875.0,3.0,98.0,6,11200.0,145.83333333333334
other,910.0,4.0,140.0,4,15384.615384615385,227.5
Varthur,704.0,8.0,92.0,8,13068.181818181818,88.0
other,1200.0,7.0,220.0,8,18333.333333333332,150.0
other,580.0,2.0,95.0,2,16379.310344827587,290.0
Munnekollal,1200.0,7.0,240.0,10,20000.0,120.0
other,720.0,4.0,62.0,5,8611.111111111111,144.0
Jalahalli,600.0,3.0,60.0,3,10000.0,200.0
other,1800.0,9.0,180.0,9,10000.0,200.0
Kumaraswami Layout,610.0,4.0,95.0,6,15573.77049180328,101.66666666666667
other,675.0,6.0,125.0,6,18518.51851851852,112.5
other,800.0,3.0,120.0,6,15000.0,133.33333333333334
Judicial Layout,1200.0,6.0,300.0,6,25000.0,200.0
TC Palaya,1440.0,5.0,100.0,5,6944.444444444444,288.0
Ramamurthy Nagar,2000.0,9.0,150.0,9,7500.0,222.22222222222223
Munnekollal,2400.0,40.0,660.0,43,27500.0,55.81395348837209
other,2416.0,10.0,600.0,10,24834.437086092716,241.6
Sarakki Nagar,880.0,6.0,75.0,6,8522.727272727272,146.66666666666666
Nagarbhavi,1200.0,4.0,240.0,5,20000.0,240.0
Basaveshwara Nagar,800.0,6.0,110.0,6,13750.0,133.33333333333334
other,600.0,3.0,54.0,3,9000.0,200.0
other,1150.0,4.0,110.0,4,9565.217391304348,287.5
other,958.0,3.0,210.0,5,21920.668058455114,191.6
other,1200.0,7.0,169.0,7,14083.333333333334,171.42857142857142
Yelachenahalli,900.0,2.0,115.0,4,12777.777777777777,225.0
Hosakerehalli,1380.0,9.0,150.0,9,10869.565217391304,153.33333333333334
Bellandur,700.0,8.0,100.0,7,14285.714285714286,100.0
Sanjay nagar,1200.0,4.0,185.0,5,15416.666666666666,240.0
other,750.0,6.0,112.0,9,14933.333333333334,83.33333333333333
other,1250.0,15.0,125.0,14,10000.0,89.28571428571429
Banashankari,500.0,5.0,92.0,5,18400.0,100.0
Anandapura,640.0,3.0,45.0,3,7031.25,213.33333333333334
Kammanahalli,540.0,3.0,60.0,3,11111.111111111111,180.0
other,5.0,7.0,115.0,7,2300000.0,0.7142857142857143
8th Phase JP Nagar,1200.0,8.0,225.0,9,18750.0,133.33333333333334
HBR Layout,800.0,4.0,180.0,4,22500.0,200.0
other,1224.0,4.0,200.0,8,16339.869281045752,153.0
other,825.0,6.0,400.0,6,48484.84848484849,137.5
other,750.0,4.0,85.0,4,11333.333333333334,187.5
other,600.0,8.0,70.0,8,11666.666666666666,75.0
Margondanahalli,555.0,1.0,37.0,2,6666.666666666667,277.5
other,1200.0,8.0,220.0,8,18333.333333333332,150.0
1st Block Jayanagar,930.0,4.0,85.0,7,9139.78494623656,132.85714285714286
Marathahalli,1200.0,5.0,108.0,6,9000.0,200.0
Vidyaranyapura,1200.0,7.0,140.0,7,11666.666666666666,171.42857142857142
other,800.0,6.0,98.0,6,12250.0,133.33333333333334
2nd Stage Nagarbhavi,600.0,3.0,95.0,4,15833.333333333334,150.0
Jalahalli East,720.0,4.0,48.0,4,6666.666666666667,180.0
other,1350.0,6.0,160.0,6,11851.851851851852,225.0
other,900.0,4.0,75.0,4,8333.333333333334,225.0
other,1200.0,7.0,100.0,8,8333.333333333334,150.0
OMBR Layout,600.0,3.0,100.0,3,16666.666666666668,200.0
other,1100.0,5.0,121.0,4,11000.0,275.0
other,900.0,4.0,175.0,4,19444.444444444445,225.0
Banjara Layout,1200.0,5.0,96.0,5,8000.0,240.0
other,660.0,2.0,100.0,3,15151.515151515152,220.0
BTM Layout,600.0,4.0,122.0,4,20333.333333333332,150.0
Vidyaranyapura,462.0,3.0,38.0,3,8225.108225108224,154.0
Indira Nagar,1000.0,5.0,180.0,5,18000.0,200.0
other,800.0,6.0,75.0,6,9375.0,133.33333333333334
Vijayanagar,1470.0,6.0,300.0,8,20408.163265306124,183.75
2nd Stage Nagarbhavi,600.0,4.0,100.0,3,16666.666666666668,200.0
Vittasandra,621.0,7.0,64.0,7,10305.958132045089,88.71428571428571
HRBR Layout,1200.0,6.0,250.0,6,20833.333333333332,200.0
other,840.0,8.0,120.0,6,14285.714285714286,140.0
Bommanahalli,1200.0,7.0,125.0,5,10416.666666666666,240.0
Vidyaranyapura,1200.0,9.0,175.0,9,14583.333333333334,133.33333333333334
Kengeri Satellite Town,560.0,2.0,16.6,2,2964.2857142857147,280.0
other,800.0,8.0,150.0,6,18750.0,133.33333333333334
other,1500.0,6.0,210.0,7,14000.0,214.28571428571428
Yelahanka,1200.0,5.0,162.0,5,13500.0,240.0
Shampura,920.0,2.0,90.0,4,9782.608695652174,230.0
other,750.0,3.0,155.0,3,20666.666666666668,250.0
other,600.0,3.0,90.0,3,15000.0,200.0
Mallasandra,600.0,2.0,50.0,4,8333.333333333334,150.0
Haralur Road,1200.0,5.0,255.0,5,21250.0,240.0
R.T. Nagar,600.0,7.0,93.0,7,15500.0,85.71428571428571
Kodichikkanahalli,1600.0,4.0,200.0,6,12500.0,266.6666666666667
other,1350.0,8.0,200.0,9,14814.814814814816,150.0
other,1200.0,5.0,300.0,5,25000.0,240.0
other,1200.0,6.0,120.0,6,10000.0,200.0
TC Palaya,1500.0,8.0,150.0,8,10000.0,187.5
other,906.0,3.0,55.0,4,6070.640176600442,226.5
other,1200.0,7.0,169.0,7,14083.333333333334,171.42857142857142
other,850.0,7.0,100.0,6,11764.70588235294,141.66666666666666
other,1200.0,4.0,130.0,5,10833.333333333334,240.0
Shampura,1150.0,6.0,75.0,6,6521.739130434783,191.66666666666666
Ramamurthy Nagar,800.0,4.0,88.0,3,11000.0,266.6666666666667
other,800.0,2.0,80.0,3,10000.0,266.6666666666667
other,600.0,5.0,75.0,4,12500.0,150.0
other,600.0,2.0,85.0,3,14166.666666666666,200.0
other,875.0,5.0,120.0,5,13714.285714285714,175.0
other,600.0,4.0,105.0,6,17500.0,100.0
other,1240.0,5.0,300.0,5,24193.548387096773,248.0
Mysore Road,45.0,1.0,23.0,1,51111.11111111111,45.0
Kengeri,600.0,3.0,90.0,3,15000.0,200.0
Hulimavu,1200.0,5.0,101.0,5,8416.666666666666,240.0
Banashankari,1200.0,6.0,180.0,6,15000.0,200.0
other,600.0,7.0,110.0,7,18333.333333333332,85.71428571428571
other,806.0,3.0,128.0,6,15880.893300248139,134.33333333333334
other,600.0,6.0,60.0,8,10000.0,75.0
Horamavu Agara,1000.0,5.0,98.0,6,9800.0,166.66666666666666
Banashankari Stage II,500.0,2.0,55.0,2,11000.0,250.0
Marsur,497.0,1.0,17.0,2,3420.523138832998,248.5
Shampura,672.0,3.0,54.0,4,8035.714285714285,168.0
other,800.0,6.0,110.0,8,13750.0,100.0
1st Block Jayanagar,700.0,4.0,104.0,8,14857.142857142857,87.5
HRBR Layout,1000.0,6.0,275.0,6,27500.0,166.66666666666666
other,396.0,2.0,48.0,3,12121.212121212122,132.0
other,600.0,4.0,76.0,5,12666.666666666666,120.0
Basavangudi,1754.0,6.0,650.0,6,37058.152793614594,292.3333333333333
other,1200.0,4.0,115.0,5,9583.333333333334,240.0
Bannerghatta Road,1200.0,6.0,160.0,6,13333.333333333334,200.0
Kengeri,1500.0,6.0,150.0,6,10000.0,250.0
other,1200.0,5.0,99.0,5,8250.0,240.0
other,1280.0,3.0,250.0,5,19531.25,256.0
other,1050.0,4.0,80.0,5,7619.047619047619,210.0
Mahalakshmi Layout,1200.0,5.0,200.0,5,16666.666666666668,240.0
other,600.0,4.0,81.0,3,13500.0,200.0
Vishveshwarya Layout,1200.0,8.0,180.0,7,15000.0,171.42857142857142
TC Palaya,600.0,4.0,65.0,4,10833.333333333334,150.0
Ramamurthy Nagar,1200.0,4.0,110.0,6,9166.666666666666,200.0
Vidyaranyapura,750.0,4.0,88.0,4,11733.333333333334,187.5
Banashankari Stage II,1050.0,3.0,125.0,4,11904.761904761905,262.5
other,900.0,3.0,51.0,4,5666.666666666667,225.0
other,1200.0,10.0,190.0,10,15833.333333333334,120.0
other,1050.0,4.0,90.0,4,8571.42857142857,262.5
Shivaji Nagar,550.0,1.0,27.0,2,4909.090909090909,275.0
Basaveshwara Nagar,750.0,4.0,150.0,6,20000.0,125.0
Yeshwanthpur,2400.0,6.0,270.0,9,11250.0,266.6666666666667
other,800.0,3.0,120.0,3,15000.0,266.6666666666667
Uttarahalli,1680.0,6.0,125.0,6,7440.476190476191,280.0
Mysore Road,2232.0,6.0,300.0,12,13440.860215053763,186.0
Hoskote,1800.0,10.0,185.0,9,10277.777777777777,200.0
other,700.0,3.0,195.0,3,27857.14285714286,233.33333333333334
other,1200.0,7.0,95.0,9,7916.666666666667,133.33333333333334
Kodigehalli,1150.0,9.0,170.0,8,14782.608695652174,143.75
other,600.0,6.0,138.0,7,23000.0,85.71428571428571
Banaswadi,1000.0,4.0,150.0,6,15000.0,166.66666666666666
Hoskote,900.0,5.0,110.0,5,12222.222222222223,180.0
Kammanahalli,900.0,4.0,150.0,4,16666.666666666668,225.0
Kothanur,1020.0,10.0,155.0,8,15196.078431372549,127.5
other,596.0,2.0,22.0,2,3691.2751677852348,298.0
other,850.0,6.0,78.0,6,9176.470588235294,141.66666666666666
Vishveshwarya Layout,600.0,4.0,99.0,3,16500.0,200.0
Sector 2 HSR Layout,600.0,9.0,90.0,9,15000.0,66.66666666666667
Giri Nagar,600.0,6.0,100.0,6,16666.666666666668,100.0
other,800.0,3.0,60.0,3,7500.0,266.6666666666667
other,1000.0,5.0,140.0,5,14000.0,200.0
other,1200.0,8.0,135.0,8,11250.0,150.0
other,882.0,3.0,72.0,4,8163.265306122449,220.5
other,600.0,3.0,65.0,3,10833.333333333334,200.0
2nd Stage Nagarbhavi,600.0,4.0,125.0,4,20833.333333333332,150.0
5th Block Hbr Layout,2600.0,12.0,675.0,9,25961.53846153846,288.8888888888889
Banashankari Stage III,1200.0,5.0,180.0,5,15000.0,240.0
Singasandra,1200.0,6.0,220.0,6,18333.333333333332,200.0
other,1200.0,4.0,115.0,6,9583.333333333334,200.0
other,1200.0,5.0,80.0,7,6666.666666666667,171.42857142857142
other,800.0,4.0,98.0,5,12250.0,160.0
Kammanahalli,600.0,2.0,50.0,3,8333.333333333334,200.0
Munnekollal,1200.0,9.0,215.0,9,17916.666666666668,133.33333333333334
other,646.0,2.0,65.0,3,10061.919504643964,215.33333333333334
Vishwapriya Layout,690.0,4.0,83.0,5,12028.985507246376,138.0
Chandapura,715.0,2.0,32.0,3,4475.524475524476,238.33333333333334
other,1350.0,8.0,185.0,8,13703.703703703704,168.75
6th Phase JP Nagar,600.0,4.0,125.0,4,20833.333333333332,150.0
Amruthahalli,600.0,4.0,60.0,4,10000.0,150.0
other,600.0,3.0,100.0,4,16666.666666666668,150.0
Vidyaranyapura,1200.0,5.0,139.0,5,11583.333333333334,240.0
Hosa Road,675.0,3.0,70.0,3,10370.37037037037,225.0
Tindlu,720.0,3.0,81.0,3,11250.0,240.0
other,1280.0,5.0,150.0,7,11718.75,182.85714285714286
other,2400.0,8.0,325.0,9,13541.666666666666,266.6666666666667
other,1008.0,4.0,180.0,5,17857.14285714286,201.6
Arekere,1200.0,8.0,225.0,8,18750.0,150.0
other,1000.0,7.0,160.0,8,16000.0,125.0
other,800.0,2.0,52.0,3,6500.0,266.6666666666667
other,900.0,5.0,100.0,6,11111.111111111111,150.0
Electronic City Phase II,875.0,2.0,40.0,3,4571.428571428572,291.6666666666667
other,1050.0,4.0,90.0,4,8571.42857142857,262.5
Giri Nagar,1120.0,4.0,175.0,4,15625.0,280.0
Ramamurthy Nagar,1350.0,5.0,120.0,5,8888.888888888889,270.0
